"","Year","New","RR_OldUnRen","RR_OldRen","AR_OldUnRen","AR_OldRen","ER_OldUnRen","ER_OldRen"
"Tot_GJ_base_2020",2020,NA,508.464388381916,NA,508.464388381916,NA,508.464388381916,NA
"Tot_GJ_base_2025",2025,250.757610957313,465.186712486051,539.008007696963,462.921392586012,489.274502210049,454.426481685952,465.722624913792
"Tot_GJ_base_2030",2030,250.596458137258,428.508720859914,502.756758038131,423.712156112273,451.077565340403,396.648350082592,403.751424201996
"Tot_GJ_base_2035",2035,242.210243733697,395.622207269875,475.154517769351,403.077469322529,418.103080044172,364.753526298068,352.278217067836
"Tot_GJ_base_2040",2040,236.674981162299,380.915219363936,447.572958762165,389.200657807324,393.227987438211,347.658946331825,315.499016611052
"Tot_GJ_base_2045",2045,229.777116927843,366.530415654412,428.434160353458,390.437588198505,373.464054556901,359.210899138044,292.736528688322
"Tot_GJ_base_2050",2050,224.922953397174,360.00125304996,413.509867829615,393.715262201312,358.804277134766,374.524693465389,279.548933037897
"Tot_GJ_base_2055",2055,218.687483494246,358.964596420506,401.024452534934,415.981583739476,346.643062322435,406.764881025163,270.344074768947
"Tot_GJ_base_2060",2060,213.750269607076,364.521059643986,389.863772915145,435.652362572324,336.382471085936,412.108367549372,262.9781945296
