"Year","StockScen","CharScen","RenScen","ElecScen","Var","GHG","Source","Ann. Emissions"
2020,3,"D","ER","LREC","EmGHG",61.8257427137602,"Emb. Constr.","Emb. Constr."
2021,3,"D","ER","LREC","EmGHG",62.3008604073116,"Emb. Constr.","Emb. Constr."
2022,3,"D","ER","LREC","EmGHG",62.3339875672517,"Emb. Constr.","Emb. Constr."
2023,3,"D","ER","LREC","EmGHG",62.1970343390365,"Emb. Constr.","Emb. Constr."
2024,3,"D","ER","LREC","EmGHG",61.8672078018547,"Emb. Constr.","Emb. Constr."
2025,3,"D","ER","LREC","EmGHG",61.4734276472464,"Emb. Constr.","Emb. Constr."
2026,3,"D","ER","LREC","EmGHG",60.8622747509919,"Emb. Constr.","Emb. Constr."
2027,3,"D","ER","LREC","EmGHG",60.107985958275,"Emb. Constr.","Emb. Constr."
2028,3,"D","ER","LREC","EmGHG",59.2244652047569,"Emb. Constr.","Emb. Constr."
2029,3,"D","ER","LREC","EmGHG",58.2899611845058,"Emb. Constr.","Emb. Constr."
2030,3,"D","ER","LREC","EmGHG",57.4224531267258,"Emb. Constr.","Emb. Constr."
2031,3,"D","ER","LREC","EmGHG",56.4987744897422,"Emb. Constr.","Emb. Constr."
2032,3,"D","ER","LREC","EmGHG",55.6232013177719,"Emb. Constr.","Emb. Constr."
2033,3,"D","ER","LREC","EmGHG",54.7283057392651,"Emb. Constr.","Emb. Constr."
2034,3,"D","ER","LREC","EmGHG",53.9389697245837,"Emb. Constr.","Emb. Constr."
2035,3,"D","ER","LREC","EmGHG",53.1643030603683,"Emb. Constr.","Emb. Constr."
2036,3,"D","ER","LREC","EmGHG",52.5031265732063,"Emb. Constr.","Emb. Constr."
2037,3,"D","ER","LREC","EmGHG",51.8362047132121,"Emb. Constr.","Emb. Constr."
2038,3,"D","ER","LREC","EmGHG",51.152574689727,"Emb. Constr.","Emb. Constr."
2039,3,"D","ER","LREC","EmGHG",50.6373946653139,"Emb. Constr.","Emb. Constr."
2040,3,"D","ER","LREC","EmGHG",50.5077700995408,"Emb. Constr.","Emb. Constr."
2041,3,"D","ER","LREC","EmGHG",50.0313196046652,"Emb. Constr.","Emb. Constr."
2042,3,"D","ER","LREC","EmGHG",49.6073791692894,"Emb. Constr.","Emb. Constr."
2043,3,"D","ER","LREC","EmGHG",49.2432979598485,"Emb. Constr.","Emb. Constr."
2044,3,"D","ER","LREC","EmGHG",48.9469722522528,"Emb. Constr.","Emb. Constr."
2045,3,"D","ER","LREC","EmGHG",48.7158856025651,"Emb. Constr.","Emb. Constr."
2046,3,"D","ER","LREC","EmGHG",48.471661793611,"Emb. Constr.","Emb. Constr."
2047,3,"D","ER","LREC","EmGHG",48.2578893360229,"Emb. Constr.","Emb. Constr."
2048,3,"D","ER","LREC","EmGHG",48.0820288006598,"Emb. Constr.","Emb. Constr."
2049,3,"D","ER","LREC","EmGHG",47.9104219475566,"Emb. Constr.","Emb. Constr."
2050,3,"D","ER","LREC","EmGHG",47.7869540266633,"Emb. Constr.","Emb. Constr."
2051,3,"D","ER","LREC","EmGHG",47.6668431445479,"Emb. Constr.","Emb. Constr."
2052,3,"D","ER","LREC","EmGHG",47.5775911135716,"Emb. Constr.","Emb. Constr."
2053,3,"D","ER","LREC","EmGHG",47.4637081779151,"Emb. Constr.","Emb. Constr."
2054,3,"D","ER","LREC","EmGHG",47.3653779630472,"Emb. Constr.","Emb. Constr."
2055,3,"D","ER","LREC","EmGHG",47.2582374462382,"Emb. Constr.","Emb. Constr."
2056,3,"D","ER","LREC","EmGHG",47.1785864296173,"Emb. Constr.","Emb. Constr."
2057,3,"D","ER","LREC","EmGHG",47.0758772894902,"Emb. Constr.","Emb. Constr."
2058,3,"D","ER","LREC","EmGHG",46.9889551765403,"Emb. Constr.","Emb. Constr."
2059,3,"D","ER","LREC","EmGHG",46.956962060237,"Emb. Constr.","Emb. Constr."
2060,3,"D","ER","LREC","EmGHG",46.956962060237,"Emb. Constr.","Emb. Constr."
2020,3,"D","ER","LREC","RenGHG",0,"Emb. Renov.","Emb. Renov."
2021,3,"D","ER","LREC","RenGHG",8.72246268555426,"Emb. Renov.","Emb. Renov."
2022,3,"D","ER","LREC","RenGHG",8.57075321059618,"Emb. Renov.","Emb. Renov."
2023,3,"D","ER","LREC","RenGHG",8.82066471873945,"Emb. Renov.","Emb. Renov."
2024,3,"D","ER","LREC","RenGHG",8.70348682987454,"Emb. Renov.","Emb. Renov."
2025,3,"D","ER","LREC","RenGHG",8.5574888910274,"Emb. Renov.","Emb. Renov."
2026,3,"D","ER","LREC","RenGHG",8.05540021476516,"Emb. Renov.","Emb. Renov."
2027,3,"D","ER","LREC","RenGHG",7.9139062702554,"Emb. Renov.","Emb. Renov."
2028,3,"D","ER","LREC","RenGHG",8.06087670292337,"Emb. Renov.","Emb. Renov."
2029,3,"D","ER","LREC","RenGHG",8.0120637886273,"Emb. Renov.","Emb. Renov."
2030,3,"D","ER","LREC","RenGHG",8.12081699953525,"Emb. Renov.","Emb. Renov."
2031,3,"D","ER","LREC","RenGHG",7.47332946086124,"Emb. Renov.","Emb. Renov."
2032,3,"D","ER","LREC","RenGHG",7.44132638241325,"Emb. Renov.","Emb. Renov."
