"Year","StockScen","CharScen","RenScen","ElecScen","Var","GHG","Source","Ann. Emissions"
2033,3,"D","ER","LREC","RenGHG",7.48288550840311,"Emb. Renov.","Emb. Renov."
2034,3,"D","ER","LREC","RenGHG",7.57247633970326,"Emb. Renov.","Emb. Renov."
2035,3,"D","ER","LREC","RenGHG",7.49095374708568,"Emb. Renov.","Emb. Renov."
2036,3,"D","ER","LREC","RenGHG",6.92996458958983,"Emb. Renov.","Emb. Renov."
2037,3,"D","ER","LREC","RenGHG",6.96950956186996,"Emb. Renov.","Emb. Renov."
2038,3,"D","ER","LREC","RenGHG",6.98164583007829,"Emb. Renov.","Emb. Renov."
2039,3,"D","ER","LREC","RenGHG",6.89319983671726,"Emb. Renov.","Emb. Renov."
2040,3,"D","ER","LREC","RenGHG",6.90810618092065,"Emb. Renov.","Emb. Renov."
2041,3,"D","ER","LREC","RenGHG",6.38408408041951,"Emb. Renov.","Emb. Renov."
2042,3,"D","ER","LREC","RenGHG",6.28705929004441,"Emb. Renov.","Emb. Renov."
2043,3,"D","ER","LREC","RenGHG",6.37736855653685,"Emb. Renov.","Emb. Renov."
2044,3,"D","ER","LREC","RenGHG",6.40383292259133,"Emb. Renov.","Emb. Renov."
2045,3,"D","ER","LREC","RenGHG",6.25712900870694,"Emb. Renov.","Emb. Renov."
2046,3,"D","ER","LREC","RenGHG",5.72549701219622,"Emb. Renov.","Emb. Renov."
2047,3,"D","ER","LREC","RenGHG",5.72054779024073,"Emb. Renov.","Emb. Renov."
2048,3,"D","ER","LREC","RenGHG",5.72239394968207,"Emb. Renov.","Emb. Renov."
2049,3,"D","ER","LREC","RenGHG",5.70121696905411,"Emb. Renov.","Emb. Renov."
2050,3,"D","ER","LREC","RenGHG",5.69926829409213,"Emb. Renov.","Emb. Renov."
2051,3,"D","ER","LREC","RenGHG",5.05753608967125,"Emb. Renov.","Emb. Renov."
2052,3,"D","ER","LREC","RenGHG",5.12740513501202,"Emb. Renov.","Emb. Renov."
2053,3,"D","ER","LREC","RenGHG",5.08498647968776,"Emb. Renov.","Emb. Renov."
2054,3,"D","ER","LREC","RenGHG",4.97621816872903,"Emb. Renov.","Emb. Renov."
2055,3,"D","ER","LREC","RenGHG",5.01681856042664,"Emb. Renov.","Emb. Renov."
2056,3,"D","ER","LREC","RenGHG",4.41402477678548,"Emb. Renov.","Emb. Renov."
2057,3,"D","ER","LREC","RenGHG",4.39677725765888,"Emb. Renov.","Emb. Renov."
2058,3,"D","ER","LREC","RenGHG",4.43582760519331,"Emb. Renov.","Emb. Renov."
2059,3,"D","ER","LREC","RenGHG",4.29636567327693,"Emb. Renov.","Emb. Renov."
2060,3,"D","ER","LREC","RenGHG",4.40763524966118,"Emb. Renov.","Emb. Renov."
2020,3,"D","ER","LREC","OldOilGHG",69.4633727498567,"Oil Existing","Oil Existing"
2021,3,"D","ER","LREC","OldOilGHG",66.6094309083091,"Oil Existing","Oil Existing"
2022,3,"D","ER","LREC","OldOilGHG",63.4244289164785,"Oil Existing","Oil Existing"
2023,3,"D","ER","LREC","OldOilGHG",59.963182466556,"Oil Existing","Oil Existing"
2024,3,"D","ER","LREC","OldOilGHG",56.2805072507325,"Oil Existing","Oil Existing"
2025,3,"D","ER","LREC","OldOilGHG",52.4312189611993,"Oil Existing","Oil Existing"
2026,3,"D","ER","LREC","OldOilGHG",48.4728140658892,"Oil Existing","Oil Existing"
2027,3,"D","ER","LREC","OldOilGHG",44.4735121357018,"Oil Existing","Oil Existing"
2028,3,"D","ER","LREC","OldOilGHG",40.5042135172783,"Oil Existing","Oil Existing"
2029,3,"D","ER","LREC","OldOilGHG",36.6358185572602,"Oil Existing","Oil Existing"
2030,3,"D","ER","LREC","OldOilGHG",32.9392276022888,"Oil Existing","Oil Existing"
2031,3,"D","ER","LREC","OldOilGHG",29.4719371202969,"Oil Existing","Oil Existing"
2032,3,"D","ER","LREC","OldOilGHG",26.2378280643832,"Oil Existing","Oil Existing"
2033,3,"D","ER","LREC","OldOilGHG",23.2273775089377,"Oil Existing","Oil Existing"
2034,3,"D","ER","LREC","OldOilGHG",20.4310625283508,"Oil Existing","Oil Existing"
2035,3,"D","ER","LREC","OldOilGHG",17.8393601970124,"Oil Existing","Oil Existing"
2036,3,"D","ER","LREC","OldOilGHG",15.4474304651637,"Oil Existing","Oil Existing"
2037,3,"D","ER","LREC","OldOilGHG",13.2691647864501,"Oil Existing","Oil Existing"
2038,3,"D","ER","LREC","OldOilGHG",11.3231374903676,"Oil Existing","Oil Existing"
2039,3,"D","ER","LREC","OldOilGHG",9.62792290641248,"Oil Existing","Oil Existing"
2040,3,"D","ER","LREC","OldOilGHG",8.20209536408101,"Oil Existing","Oil Existing"
2041,3,"D","ER","LREC","OldOilGHG",7.05362479072612,"Oil Existing","Oil Existing"
2042,3,"D","ER","LREC","OldOilGHG",6.14806350512778,"Oil Existing","Oil Existing"
2043,3,"D","ER","LREC","OldOilGHG",5.44035942392269,"Oil Existing","Oil Existing"
2044,3,"D","ER","LREC","OldOilGHG",4.88546046374756,"Oil Existing","Oil Existing"
2045,3,"D","ER","LREC","OldOilGHG",4.43831454123908,"Oil Existing","Oil Existing"
2046,3,"D","ER","LREC","OldOilGHG",4.06040535896326,"Oil Existing","Oil Existing"
2047,3,"D","ER","LREC","OldOilGHG",3.73935976320322,"Oil Existing","Oil Existing"
2048,3,"D","ER","LREC","OldOilGHG",3.46934038617135,"Oil Existing","Oil Existing"
2049,3,"D","ER","LREC","OldOilGHG",3.24450986008008,"Oil Existing","Oil Existing"
2050,3,"D","ER","LREC","OldOilGHG",3.05903081714181,"Oil Existing","Oil Existing"
2051,3,"D","ER","LREC","OldOilGHG",2.90730324790265,"Oil Existing","Oil Existing"
2052,3,"D","ER","LREC","OldOilGHG",2.78467657624355,"Oil Existing","Oil Existing"
2053,3,"D","ER","LREC","OldOilGHG",2.68673758437918,"Oil Existing","Oil Existing"
2054,3,"D","ER","LREC","OldOilGHG",2.6090730545242,"Oil Existing","Oil Existing"
2055,3,"D","ER","LREC","OldOilGHG",2.54726976889325,"Oil Existing","Oil Existing"
2056,3,"D","ER","LREC","OldOilGHG",2.49686703803427,"Oil Existing","Oil Existing"
2057,3,"D","ER","LREC","OldOilGHG",2.45321428582821,"Oil Existing","Oil Existing"
2058,3,"D","ER","LREC","OldOilGHG",2.41161346448926,"Oil Existing","Oil Existing"
2059,3,"D","ER","LREC","OldOilGHG",2.36736652623165,"Oil Existing","Oil Existing"
2060,3,"D","ER","LREC","OldOilGHG",2.31577542326957,"Oil Existing","Oil Existing"
2020,3,"D","ER","LREC","NewOilGHG",0,"Oil New","Oil New"
2021,3,"D","ER","LREC","NewOilGHG",0.0609522784613641,"Oil New","Oil New"
2022,3,"D","ER","LREC","NewOilGHG",0.130593035818331,"Oil New","Oil New"
2023,3,"D","ER","LREC","NewOilGHG",0.20663602569004,"Oil New","Oil New"
2024,3,"D","ER","LREC","NewOilGHG",0.286795001695628,"Oil New","Oil New"
2025,3,"D","ER","LREC","NewOilGHG",0.368783717454233,"Oil New","Oil New"
2026,3,"D","ER","LREC","NewOilGHG",0.449991832904074,"Oil New","Oil New"
2027,3,"D","ER","LREC","NewOilGHG",0.526512633259683,"Oil New","Oil New"
2028,3,"D","ER","LREC","NewOilGHG",0.594115310054677,"Oil New","Oil New"
2029,3,"D","ER","LREC","NewOilGHG",0.648569054822668,"Oil New","Oil New"
2030,3,"D","ER","LREC","NewOilGHG",0.685643059097271,"Oil New","Oil New"
2031,3,"D","ER","LREC","NewOilGHG",0.702726982816704,"Oil New","Oil New"
2032,3,"D","ER","LREC","NewOilGHG",0.703692359537596,"Oil New","Oil New"
2033,3,"D","ER","LREC","NewOilGHG",0.694031191221182,"Oil New","Oil New"
2034,3,"D","ER","LREC","NewOilGHG",0.679235479828696,"Oil New","Oil New"
2035,3,"D","ER","LREC","NewOilGHG",0.664797227321371,"Oil New","Oil New"
2036,3,"D","ER","LREC","NewOilGHG",0.655040055618329,"Oil New","Oil New"
2037,3,"D","ER","LREC","NewOilGHG",0.64961406647024,"Oil New","Oil New"
2038,3,"D","ER","LREC","NewOilGHG",0.647000981585661,"Oil New","Oil New"
2039,3,"D","ER","LREC","NewOilGHG",0.645682522673151,"Oil New","Oil New"
2040,3,"D","ER","LREC","NewOilGHG",0.644140411441268,"Oil New","Oil New"
2041,3,"D","ER","LREC","NewOilGHG",0.641188606943511,"Oil New","Oil New"
2042,3,"D","ER","LREC","NewOilGHG",0.636970017613152,"Oil New","Oil New"
2043,3,"D","ER","LREC","NewOilGHG",0.631959789228405,"Oil New","Oil New"
2044,3,"D","ER","LREC","NewOilGHG",0.626633067567485,"Oil New","Oil New"
2045,3,"D","ER","LREC","NewOilGHG",0.621464998408604,"Oil New","Oil New"
2046,3,"D","ER","LREC","NewOilGHG",0.616801166131769,"Oil New","Oil New"
2047,3,"D","ER","LREC","NewOilGHG",0.612468909524154,"Oil New","Oil New"
2048,3,"D","ER","LREC","NewOilGHG",0.608166005974723,"Oil New","Oil New"
2049,3,"D","ER","LREC","NewOilGHG",0.603590232872444,"Oil New","Oil New"
2050,3,"D","ER","LREC","NewOilGHG",0.59843936760628,"Oil New","Oil New"
2051,3,"D","ER","LREC","NewOilGHG",0.592495564696531,"Oil New","Oil New"
2052,3,"D","ER","LREC","NewOilGHG",0.58587848718882,"Oil New","Oil New"
2053,3,"D","ER","LREC","NewOilGHG",0.578792175260106,"Oil New","Oil New"
2054,3,"D","ER","LREC","NewOilGHG",0.571440669087346,"Oil New","Oil New"
2055,3,"D","ER","LREC","NewOilGHG",0.564028008847498,"Oil New","Oil New"
2056,3,"D","ER","LREC","NewOilGHG",0.556741359291252,"Oil New","Oil New"
2057,3,"D","ER","LREC","NewOilGHG",0.549700383464234,"Oil New","Oil New"
2058,3,"D","ER","LREC","NewOilGHG",0.543007868985802,"Oil New","Oil New"
2059,3,"D","ER","LREC","NewOilGHG",0.536766603475317,"Oil New","Oil New"
2060,3,"D","ER","LREC","NewOilGHG",0.531079374552136,"Oil New","Oil New"
2020,3,"D","ER","LREC","OldGasGHG",261.936924645379,"Gas Existing","Gas Existing"
2021,3,"D","ER","LREC","OldGasGHG",252.268652895875,"Gas Existing","Gas Existing"
2022,3,"D","ER","LREC","OldGasGHG",241.276925963649,"Gas Existing","Gas Existing"
2023,3,"D","ER","LREC","OldGasGHG",229.172682827651,"Gas Existing","Gas Existing"
2024,3,"D","ER","LREC","OldGasGHG",216.166862466832,"Gas Existing","Gas Existing"
2025,3,"D","ER","LREC","OldGasGHG",202.470403860143,"Gas Existing","Gas Existing"
2026,3,"D","ER","LREC","OldGasGHG",188.304262366042,"Gas Existing","Gas Existing"
2027,3,"D","ER","LREC","OldGasGHG",173.92945886101,"Gas Existing","Gas Existing"
2028,3,"D","ER","LREC","OldGasGHG",159.617030601039,"Gas Existing","Gas Existing"
2029,3,"D","ER","LREC","OldGasGHG",145.638014842119,"Gas Existing","Gas Existing"
2030,3,"D","ER","LREC","OldGasGHG",132.263448840239,"Gas Existing","Gas Existing"
2031,3,"D","ER","LREC","OldGasGHG",119.714287953856,"Gas Existing","Gas Existing"
2032,3,"D","ER","LREC","OldGasGHG",108.011159951297,"Gas Existing","Gas Existing"
2033,3,"D","ER","LREC","OldGasGHG",97.1246107033551,"Gas Existing","Gas Existing"
2034,3,"D","ER","LREC","OldGasGHG",87.0251860808244,"Gas Existing","Gas Existing"
2035,3,"D","ER","LREC","OldGasGHG",77.683431954498,"Gas Existing","Gas Existing"
2036,3,"D","ER","LREC","OldGasGHG",69.0768786043507,"Gas Existing","Gas Existing"
2037,3,"D","ER","LREC","OldGasGHG",61.2109939470812,"Gas Existing","Gas Existing"
2038,3,"D","ER","LREC","OldGasGHG",54.0982303085696,"Gas Existing","Gas Existing"
2039,3,"D","ER","LREC","OldGasGHG",47.7510400146956,"Gas Existing","Gas Existing"
2040,3,"D","ER","LREC","OldGasGHG",42.1818753913393,"Gas Existing","Gas Existing"
2041,3,"D","ER","LREC","OldGasGHG",37.3876485238913,"Gas Existing","Gas Existing"
2042,3,"D","ER","LREC","OldGasGHG",33.3031105357846,"Gas Existing","Gas Existing"
2043,3,"D","ER","LREC","OldGasGHG",29.8474723099631,"Gas Existing","Gas Existing"
2044,3,"D","ER","LREC","OldGasGHG",26.9399447293706,"Gas Existing","Gas Existing"
2045,3,"D","ER","LREC","OldGasGHG",24.499738676951,"Gas Existing","Gas Existing"
2046,3,"D","ER","LREC","OldGasGHG",22.4515643774926,"Gas Existing","Gas Existing"
2047,3,"D","ER","LREC","OldGasGHG",20.7421294231627,"Gas Existing","Gas Existing"
2048,3,"D","ER","LREC","OldGasGHG",19.3236407479728,"Gas Existing","Gas Existing"
2049,3,"D","ER","LREC","OldGasGHG",18.1483052859347,"Gas Existing","Gas Existing"
2050,3,"D","ER","LREC","OldGasGHG",17.1683299710603,"Gas Existing","Gas Existing"
2051,3,"D","ER","LREC","OldGasGHG",16.3411729827308,"Gas Existing","Gas Existing"
2052,3,"D","ER","LREC","OldGasGHG",15.6452974818065,"Gas Existing","Gas Existing"
2053,3,"D","ER","LREC","OldGasGHG",15.0644178745172,"Gas Existing","Gas Existing"
2054,3,"D","ER","LREC","OldGasGHG",14.5822485670928,"Gas Existing","Gas Existing"
2055,3,"D","ER","LREC","OldGasGHG",14.1825039657632,"Gas Existing","Gas Existing"
2056,3,"D","ER","LREC","OldGasGHG",13.8478482276842,"Gas Existing","Gas Existing"
2057,3,"D","ER","LREC","OldGasGHG",13.556744513716,"Gas Existing","Gas Existing"
2058,3,"D","ER","LREC","OldGasGHG",13.2866057356449,"Gas Existing","Gas Existing"
2059,3,"D","ER","LREC","OldGasGHG",13.014844805257,"Gas Existing","Gas Existing"
2060,3,"D","ER","LREC","OldGasGHG",12.7188746343387,"Gas Existing","Gas Existing"
2020,3,"D","ER","LREC","NewGasGHG",0,"Gas New","Gas New"
2021,3,"D","ER","LREC","NewGasGHG",0.661858072145715,"Gas New","Gas New"
2022,3,"D","ER","LREC","NewGasGHG",1.44869625901924,"Gas New","Gas New"
2023,3,"D","ER","LREC","NewGasGHG",2.33184374706227,"Gas New","Gas New"
2024,3,"D","ER","LREC","NewGasGHG",3.28262972271649,"Gas New","Gas New"
2025,3,"D","ER","LREC","NewGasGHG",4.27238337242358,"Gas New","Gas New"
2026,3,"D","ER","LREC","NewGasGHG",5.26859814641157,"Gas New","Gas New"
2027,3,"D","ER","LREC","NewGasGHG",6.2234245500538,"Gas New","Gas New"
2028,3,"D","ER","LREC","NewGasGHG",7.08517735250994,"Gas New","Gas New"
2029,3,"D","ER","LREC","NewGasGHG",7.80217132293966,"Gas New","Gas New"
2030,3,"D","ER","LREC","NewGasGHG",8.32272123050265,"Gas New","Gas New"
2031,3,"D","ER","LREC","NewGasGHG",8.61432052542691,"Gas New","Gas New"
2032,3,"D","ER","LREC","NewGasGHG",8.72117738221385,"Gas New","Gas New"
2033,3,"D","ER","LREC","NewGasGHG",8.70667865643321,"Gas New","Gas New"
2034,3,"D","ER","LREC","NewGasGHG",8.63421120365475,"Gas New","Gas New"
2035,3,"D","ER","LREC","NewGasGHG",8.56716187944822,"Gas New","Gas New"
2036,3,"D","ER","LREC","NewGasGHG",8.55522635441622,"Gas New","Gas New"
2037,3,"D","ER","LREC","NewGasGHG",8.59333555929287,"Gas New","Gas New"
2038,3,"D","ER","LREC","NewGasGHG",8.66272923984513,"Gas New","Gas New"
2039,3,"D","ER","LREC","NewGasGHG",8.74464714183998,"Gas New","Gas New"
2040,3,"D","ER","LREC","NewGasGHG",8.8203290110444,"Gas New","Gas New"
2041,3,"D","ER","LREC","NewGasGHG",8.87505335831077,"Gas New","Gas New"
2042,3,"D","ER","LREC","NewGasGHG",8.91025375483314,"Gas New","Gas New"
2043,3,"D","ER","LREC","NewGasGHG",8.93140253689097,"Gas New","Gas New"
2044,3,"D","ER","LREC","NewGasGHG",8.94397204076373,"Gas New","Gas New"
2045,3,"D","ER","LREC","NewGasGHG",8.95343460273088,"Gas New","Gas New"
2046,3,"D","ER","LREC","NewGasGHG",8.9640551305486,"Gas New","Gas New"
2047,3,"D","ER","LREC","NewGasGHG",8.97526881788001,"Gas New","Gas New"
2048,3,"D","ER","LREC","NewGasGHG",8.98530342986494,"Gas New","Gas New"
2049,3,"D","ER","LREC","NewGasGHG",8.99238673164322,"Gas New","Gas New"
2050,3,"D","ER","LREC","NewGasGHG",8.99474648835468,"Gas New","Gas New"
2051,3,"D","ER","LREC","NewGasGHG",8.99112106160844,"Gas New","Gas New"
2052,3,"D","ER","LREC","NewGasGHG",8.98229119889076,"Gas New","Gas New"
2053,3,"D","ER","LREC","NewGasGHG",8.96954824415718,"Gas New","Gas New"
2054,3,"D","ER","LREC","NewGasGHG",8.95418354136325,"Gas New","Gas New"
2055,3,"D","ER","LREC","NewGasGHG",8.9374884344645,"Gas New","Gas New"
2056,3,"D","ER","LREC","NewGasGHG",8.92065214812262,"Gas New","Gas New"
2057,3,"D","ER","LREC","NewGasGHG",8.90445542982387,"Gas New","Gas New"
2058,3,"D","ER","LREC","NewGasGHG",8.88957690776066,"Gas New","Gas New"
2059,3,"D","ER","LREC","NewGasGHG",8.87669521012538,"Gas New","Gas New"
2060,3,"D","ER","LREC","NewGasGHG",8.86648896511043,"Gas New","Gas New"
2020,3,"D","ER","LREC","OldElecGHG",475.972531858204,"Elec Existing","Elec Existing"
2021,3,"D","ER","LREC","OldElecGHG",481.338768660117,"Elec Existing","Elec Existing"
2022,3,"D","ER","LREC","OldElecGHG",479.331985068685,"Elec Existing","Elec Existing"
2023,3,"D","ER","LREC","OldElecGHG",470.918615482004,"Elec Existing","Elec Existing"
2024,3,"D","ER","LREC","OldElecGHG",457.065094298173,"Elec Existing","Elec Existing"
2025,3,"D","ER","LREC","OldElecGHG",438.737855915291,"Elec Existing","Elec Existing"
2026,3,"D","ER","LREC","OldElecGHG",416.970880024791,"Elec Existing","Elec Existing"
2027,3,"D","ER","LREC","OldElecGHG",393.068327491439,"Elec Existing","Elec Existing"
2028,3,"D","ER","LREC","OldElecGHG",368.401904473339,"Elec Existing","Elec Existing"
2029,3,"D","ER","LREC","OldElecGHG",344.343317128591,"Elec Existing","Elec Existing"
2030,3,"D","ER","LREC","OldElecGHG",322.264271615298,"Elec Existing","Elec Existing"
2031,3,"D","ER","LREC","OldElecGHG",303.198747624892,"Elec Existing","Elec Existing"
2032,3,"D","ER","LREC","OldElecGHG",286.829818982128,"Elec Existing","Elec Existing"
2033,3,"D","ER","LREC","OldElecGHG",272.502833045091,"Elec Existing","Elec Existing"
2034,3,"D","ER","LREC","OldElecGHG",259.563137171866,"Elec Existing","Elec Existing"
2035,3,"D","ER","LREC","OldElecGHG",247.35607872054,"Elec Existing","Elec Existing"
2036,3,"D","ER","LREC","OldElecGHG",235.336580637718,"Elec Existing","Elec Existing"
2037,3,"D","ER","LREC","OldElecGHG",223.397868224093,"Elec Existing","Elec Existing"
2038,3,"D","ER","LREC","OldElecGHG",211.542742368877,"Elec Existing","Elec Existing"
2039,3,"D","ER","LREC","OldElecGHG",199.774003961284,"Elec Existing","Elec Existing"
2040,3,"D","ER","LREC","OldElecGHG",188.094453890527,"Elec Existing","Elec Existing"
2041,3,"D","ER","LREC","OldElecGHG",176.542623673236,"Elec Existing","Elec Existing"
2042,3,"D","ER","LREC","OldElecGHG",165.299967335708,"Elec Existing","Elec Existing"
2043,3,"D","ER","LREC","OldElecGHG",154.583669531654,"Elec Existing","Elec Existing"
2044,3,"D","ER","LREC","OldElecGHG",144.610914914789,"Elec Existing","Elec Existing"
2045,3,"D","ER","LREC","OldElecGHG",135.598888138824,"Elec Existing","Elec Existing"
2046,3,"D","ER","LREC","OldElecGHG",127.710798304048,"Elec Existing","Elec Existing"
2047,3,"D","ER","LREC","OldElecGHG",120.893952297045,"Elec Existing","Elec Existing"
2048,3,"D","ER","LREC","OldElecGHG",115.041681450976,"Elec Existing","Elec Existing"
2049,3,"D","ER","LREC","OldElecGHG",110.047317098998,"Elec Existing","Elec Existing"
2050,3,"D","ER","LREC","OldElecGHG",105.804190574272,"Elec Existing","Elec Existing"
2051,3,"D","ER","LREC","OldElecGHG",102.200751626099,"Elec Existing","Elec Existing"
2052,3,"D","ER","LREC","OldElecGHG",99.1059236683422,"Elec Existing","Elec Existing"
2053,3,"D","ER","LREC","OldElecGHG",96.3837485310082,"Elec Existing","Elec Existing"
2054,3,"D","ER","LREC","OldElecGHG",93.8982680441026,"Elec Existing","Elec Existing"
2055,3,"D","ER","LREC","OldElecGHG",91.5135240376312,"Elec Existing","Elec Existing"
2056,3,"D","ER","LREC","OldElecGHG",89.0945346583714,"Elec Existing","Elec Existing"
2057,3,"D","ER","LREC","OldElecGHG",86.5102233201881,"Elec Existing","Elec Existing"
2058,3,"D","ER","LREC","OldElecGHG",83.6304897537177,"Elec Existing","Elec Existing"
2059,3,"D","ER","LREC","OldElecGHG",80.3252336895966,"Elec Existing","Elec Existing"
2060,3,"D","ER","LREC","OldElecGHG",76.4643548584615,"Elec Existing","Elec Existing"
2020,3,"D","ER","LREC","NewElecGHG",0,"Elec New","Elec New"
2021,3,"D","ER","LREC","NewElecGHG",7.30564680082697,"Elec New","Elec New"
2022,3,"D","ER","LREC","NewElecGHG",13.5860296706712,"Elec New","Elec New"
2023,3,"D","ER","LREC","NewElecGHG",18.9271158947685,"Elec New","Elec New"
2024,3,"D","ER","LREC","NewElecGHG",23.4148727583546,"Elec New","Elec New"
2025,3,"D","ER","LREC","NewElecGHG",27.1352675466651,"Elec New","Elec New"
2026,3,"D","ER","LREC","NewElecGHG",30.1764251291096,"Elec New","Elec New"
2027,3,"D","ER","LREC","NewElecGHG",32.6351007117918,"Elec New","Elec New"
2028,3,"D","ER","LREC","NewElecGHG",34.6102070849892,"Elec New","Elec New"
2029,3,"D","ER","LREC","NewElecGHG",36.2006570389793,"Elec New","Elec New"
2030,3,"D","ER","LREC","NewElecGHG",37.5053633640397,"Elec New","Elec New"
2031,3,"D","ER","LREC","NewElecGHG",38.6124509295795,"Elec New","Elec New"
2032,3,"D","ER","LREC","NewElecGHG",39.5668929215359,"Elec New","Elec New"
2033,3,"D","ER","LREC","NewElecGHG",40.4028746049774,"Elec New","Elec New"
2034,3,"D","ER","LREC","NewElecGHG",41.154581244973,"Elec New","Elec New"
2035,3,"D","ER","LREC","NewElecGHG",41.8561981065913,"Elec New","Elec New"
2036,3,"D","ER","LREC","NewElecGHG",42.5235445522182,"Elec New","Elec New"
