"State","pc_redn_ER","pc_redn_LRE","pc_redn_hiMF","pc_redn_DERFA","pc_redn_hiDR","pc_redn_ER_LRE","abs_redn_ER","abs_redn_LRE","abs_redn_hiMF","abs_redn_DERFA","abs_redn_hiDR","abs_redn_ER_LRE","ElecHeatShare_State","OldShare_State","SFShare_State","LargeShare_State","pop_growth_pc","GHG_int_2020"
"IA",0.1458,0.2225,0.0267,0.0506,-0.009,0.4495,56.2762245714287,85.8487185821621,10.2999281580168,19.5245040579057,-3.46691413912788,173.479873635133,0.233,0.387,0.781,0.221,0.203,0.394
"ID",0.1538,0.14,0.0355,0.0755,-0.0185,0.3118,22.851886323726,20.8045223751245,5.28189659002177,11.2206101486821,-2.74595942313553,46.3374302548151,0.364,0.163,0.778,0.248,0.352,0.183
"IL",0.0385,0.1929,0.0087,0.0304,-0.004,0.3226,58.7187102092062,294.358712250267,13.2668978896074,46.3345155200197,-6.10400589302617,492.109951668284,0.151,0.392,0.657,0.197,-0.128,0.548
"IN",0.0601,0.2014,0.0291,0.0318,-0.0074,0.3169,55.475856913662,185.854654615103,26.8768865352778,29.3466144436867,-6.81260081772973,292.416507760267,0.306,0.314,0.781,0.189,0.071,0.522
"KS",0.1355,0.3328,0.024,0.0352,-0.0056,0.5346,45.4541795122373,111.611845142917,8.05506093808981,11.7886822570051,-1.8941038235194,179.295159118334,0.25,0.311,0.789,0.22,0.095,0.498
"KY",0.0726,0.3,0.0259,0.0317,-0.0072,0.384,38.357774630612,158.425809833414,13.6723269992937,16.7268234263,-3.80586965560826,202.79124204022,0.56,0.214,0.714,0.135,0.062,0.546
"LA",0.0663,0.069,0.0288,0.0452,-0.0163,0.1349,26.3562781130345,27.4284322398216,11.4690167180489,17.9908746956061,-6.4918901201122,53.6344515651414,0.658,0.181,0.703,0.11,0.174,0.363
"MA",0.3096,0.0632,0.0354,0.0553,0.0035,0.4045,193.625105281665,39.5126954520804,22.1683290071285,34.5851253693769,2.20511350091579,252.948849626001,0.148,0.483,0.57,0.169,0.16,0.14
"MD",0.1126,0.1545,0.0399,0.0589,-0.0065,0.2765,60.3900123075859,82.8311667939471,21.3784792205968,31.5844809977841,-3.50111783114482,148.253539389852,0.431,0.269,0.73,0.147,0.187,0.279
"ME",0.327,0.0538,0.0182,0.0357,0.0025,0.417,43.3530105349791,7.13899417735648,2.40653934980216,4.73267087707038,0.333963395055662,55.2868309852259,0.052,0.352,0.7,0.129,-0.153,0.14
"MI",0.1243,0.084,0.0299,0.0476,-0.004,0.2616,140.703413545295,95.0937735985269,33.8832297527968,53.9086801526876,-4.51184323097664,296.046717426221,0.076,0.346,0.771,0.217,-0.062,0.498
"MN",0.1336,0.1928,0.0393,0.0605,-1e-04,0.4281,96.5309190317281,139.266510067891,28.3747028062942,43.665037580549,-0.0505051994049381,309.252412184757,0.174,0.292,0.737,0.221,0.178,0.394
"MO",0.0873,0.3444,0.0162,0.0278,-5e-04,0.4771,70.7690559562105,279.360468785395,13.1611992315014,22.5582745779362,-0.366689963385738,386.94092864185,0.389,0.314,0.723,0.242,0.014,0.558
"MS",0.0771,0.1363,0.0281,0.0261,-0.0119,0.2141,19.9885620137591,35.3185598311465,7.28777233128616,6.76463643710133,-3.09079307872202,55.4814820982481,0.594,0.131,0.721,0.108,-0.007,0.408
"MT",0.1715,0.1211,0.0447,0.0741,-0.0024,0.3282,19.8718943791007,14.0377602409918,5.17999348123894,8.58930346768963,-0.276212900645589,38.0358158594345,0.234,0.256,0.73,0.162,0.292,0.2
"NC",0.1007,0.2044,0.0454,0.0766,-0.0282,0.3046,77.6113833402222,157.534792229359,34.9729245969286,59.0561797935492,-21.7024206782047,234.816758714471,0.671,0.133,0.706,0.115,0.295,0.282
"ND",0.1086,0.2582,0.042,0.0787,-8e-04,0.4259,17.220918913514,40.9386293602472,6.6563791787672,12.483705522894,-0.12623556707905,67.5391305210976,0.423,0.23,0.651,0.143,1.168,0.394
"NE",0.1487,0.2346,0.0284,0.057,0,0.4374,36.9228976481886,58.2659784362849,7.04784872944023,14.1642694882647,-0.00255934846370565,108.624414504691,0.316,0.319,0.765,0.24,0.302,0.401
"NH",0.3546,0.0571,0.0169,0.036,0.0079,0.4471,42.612373286958,6.86367260515603,2.03012333347242,4.32959720068071,0.952861133286262,53.7336524918166,0.075,0.314,0.674,0.141,-0.123,0.14
"NJ",0.1907,0.0864,0.0284,0.0383,-0.0014,0.3162,159.778578198313,72.4241119448244,23.7920792937789,32.0869668843868,-1.14849844563093,264.950157726759,0.109,0.389,0.626,0.159,0.054,0.253
