"Year","GHG_int","gea"
2022,351.833066050044,"FRCCc"
2024,375.929867070246,"FRCCc"
2025,379.975514581231,"FRCCc"
2045,110.922034666773,"FRCCc"
2038,162.144772124596,"FRCCc"
2040,157.010613808135,"FRCCc"
2042,145.757241711473,"FRCCc"
2044,110.761969962253,"FRCCc"
2020,338.274382317468,"FRCCc"
2028,349.372899713516,"FRCCc"
2030,244.363038460352,"FRCCc"
2032,194.636294148808,"FRCCc"
2026,384.021162092216,"FRCCc"
2035,190.614046722124,"FRCCc"
2036,187.344135352944,"FRCCc"
2034,193.883958091303,"FRCCc"
2050,88.6480642176726,"SRMWc"
2046,79.217985664884,"SRMWc"
2048,106.183625074016,"SRMWc"
2030,371.713717181408,"SRMWc"
2025,510.67157825173,"SRMWc"
2026,495.433660921335,"SRMWc"
2028,478.819297173196,"SRMWc"
2042,141.988115578782,"SRMWc"
2044,97.4322676683505,"SRMWc"
2045,88.3251266666172,"SRMWc"
2020,602.325514569427,"SRMWc"
2022,611.229735300175,"SRMWc"
2024,525.909495582124,"SRMWc"
2032,380.687125998651,"SRMWc"
2034,342.3058793583,"SRMWc"
2035,332.963611213426,"SRMWc"
2036,323.621343068552,"SRMWc"
2038,302.808563040264,"SRMWc"
2040,211.28561873922,"SRMWc"
2020,521.598440859196,"RFCWc"
2022,530.059028462921,"RFCWc"
2026,483.444714702197,"RFCWc"
2028,473.804887000814,"RFCWc"
2024,489.466590261804,"RFCWc"
2025,486.455652482001,"RFCWc"
2040,209.406306782916,"RFCWc"
2042,193.15627816275,"RFCWc"
2044,180.209464075752,"RFCWc"
2045,176.66433584518,"RFCWc"
2046,173.119207614609,"RFCWc"
2048,164.730198607254,"RFCWc"
2050,157.958881622635,"RFCWc"
2030,426.413279163929,"RFCWc"
2032,377.666075620567,"RFCWc"
2034,331.421361199305,"RFCWc"
2035,313.936164935911,"RFCWc"
2036,296.450968672518,"RFCWc"
2038,256.539429862155,"RFCWc"
2044,25.8950289454207,"MROWc"
2045,21.1121729125615,"MROWc"
2046,16.3293168797024,"MROWc"
2050,2.75036930838738,"MROWc"
2028,320.397132113852,"MROWc"
2030,195.264251558732,"MROWc"
2048,4.90246675969483,"MROWc"
2042,53.0078016286061,"MROWc"
2020,393.870632139889,"MROWc"
2022,397.069919757262,"MROWc"
2024,377.674513528975,"MROWc"
2025,363.064002106808,"MROWc"
2026,348.453490684641,"MROWc"
2035,111.304497056683,"MROWc"
2036,106.097200221122,"MROWc"
2032,145.648066618578,"MROWc"
2034,116.511793892244,"MROWc"
2038,91.6292486867243,"MROWc"
2040,74.3666959234214,"MROWc"
2024,222.906179799868,"SPNOc"
2025,224.445176948244,"SPNOc"
2020,497.217644319864,"SPNOc"
2022,459.461125100249,"SPNOc"
2036,98.0973355593751,"SPNOc"
2038,88.676517278822,"SPNOc"
2040,81.276088180016,"SPNOc"
2042,75.0130167744167,"SPNOc"
2044,55.4043076880974,"SPNOc"
2045,53.817302865405,"SPNOc"
2046,52.2302980427125,"SPNOc"
2026,225.984174096621,"SPNOc"
2028,192.385314280628,"SPNOc"
2030,145.463805933801,"SPNOc"
2032,108.872425079709,"SPNOc"
2034,106.753999458839,"SPNOc"
2035,102.425667509107,"SPNOc"
2048,50.0027742246941,"SPNOc"
2050,25.7524904192837,"SPNOc"
2020,547.048383761305,"SRTVc"
2022,575.592831140954,"SRTVc"
2026,494.943071235572,"SRTVc"
2028,485.247393204637,"SRTVc"
2024,473.974062930006,"SRTVc"
2025,484.458567082789,"SRTVc"
2038,175.958519396478,"SRTVc"
2040,153.648809076744,"SRTVc"
2042,118.644443287382,"SRTVc"
2044,102.063495448921,"SRTVc"
2045,90.3187874713438,"SRTVc"
2046,78.5740794937668,"SRTVc"
2048,75.4096199445672,"SRTVc"
2050,60.4544497448885,"SRTVc"
2030,330.834574070949,"SRTVc"
2032,254.321066235225,"SRTVc"
2034,209.605727021093,"SRTVc"
2035,192.761282430017,"SRTVc"
2036,175.916837838941,"SRTVc"
2022,522.623807627177,"RFCMc"
2024,434.27635643283,"RFCMc"
2020,498.356770532111,"RFCMc"
2028,374.821235010839,"RFCMc"
2030,299.244174453232,"RFCMc"
2025,437.998298902188,"RFCMc"
2026,441.720241371546,"RFCMc"
2042,188.812416156788,"RFCMc"
2044,178.451137756254,"RFCMc"
2045,151.858962161765,"RFCMc"
2046,125.266786567276,"RFCMc"
2048,140.81899173233,"RFCMc"
2050,128.339366540242,"RFCMc"
2036,232.213481049359,"RFCMc"
2032,267.181553479366,"RFCMc"
2034,242.975267141056,"RFCMc"
2035,237.594374095208,"RFCMc"
2038,208.0886160472,"RFCMc"
2040,184.196975590658,"RFCMc"
2020,411.442039635316,"MROEc"
2030,335.207651652938,"MROEc"
2032,250.696861599694,"MROEc"
2034,120.659862006194,"MROEc"
2035,113.56070092321,"MROEc"
2036,106.461539840226,"MROEc"
2038,103.130802803128,"MROEc"
2040,80.1146678354803,"MROEc"
2042,60.7107788703702,"MROEc"
2022,409.888615038145,"MROEc"
2024,418.844750624944,"MROEc"
2025,417.238864358261,"MROEc"
2026,415.632978091579,"MROEc"
2028,433.503191470946,"MROEc"
2044,39.4379595541665,"MROEc"
