"Year","StockScen","CharScen","RenScen","ElecScen","Var","GHG","Source","Ann. Emissions"
2044,1,"A","RR","LREC","RenGHG",4.09640610672212,"Emb. Renov.","Emb. Renov."
2045,1,"A","RR","LREC","RenGHG",4.21267422977301,"Emb. Renov.","Emb. Renov."
2046,1,"A","RR","LREC","RenGHG",3.72700007289441,"Emb. Renov.","Emb. Renov."
2047,1,"A","RR","LREC","RenGHG",3.88283537730463,"Emb. Renov.","Emb. Renov."
2048,1,"A","RR","LREC","RenGHG",3.79260866372282,"Emb. Renov.","Emb. Renov."
2049,1,"A","RR","LREC","RenGHG",3.79378876530787,"Emb. Renov.","Emb. Renov."
2050,1,"A","RR","LREC","RenGHG",3.85828345589899,"Emb. Renov.","Emb. Renov."
2051,1,"A","RR","LREC","RenGHG",3.49647210878668,"Emb. Renov.","Emb. Renov."
2052,1,"A","RR","LREC","RenGHG",3.51851582155489,"Emb. Renov.","Emb. Renov."
2053,1,"A","RR","LREC","RenGHG",3.47631453327628,"Emb. Renov.","Emb. Renov."
2054,1,"A","RR","LREC","RenGHG",3.48573430554991,"Emb. Renov.","Emb. Renov."
2055,1,"A","RR","LREC","RenGHG",3.49157316243808,"Emb. Renov.","Emb. Renov."
2056,1,"A","RR","LREC","RenGHG",3.12323218229159,"Emb. Renov.","Emb. Renov."
2057,1,"A","RR","LREC","RenGHG",3.21469342753088,"Emb. Renov.","Emb. Renov."
2058,1,"A","RR","LREC","RenGHG",3.20339555171609,"Emb. Renov.","Emb. Renov."
2059,1,"A","RR","LREC","RenGHG",3.17906855280663,"Emb. Renov.","Emb. Renov."
2060,1,"A","RR","LREC","RenGHG",3.18698116221108,"Emb. Renov.","Emb. Renov."
2020,1,"A","RR","LREC","OldOilGHG",69.4633727498567,"Oil Existing","Oil Existing"
2021,1,"A","RR","LREC","OldOilGHG",67.8380000882295,"Oil Existing","Oil Existing"
2022,1,"A","RR","LREC","OldOilGHG",66.2598669335589,"Oil Existing","Oil Existing"
2023,1,"A","RR","LREC","OldOilGHG",64.72527813801,"Oil Existing","Oil Existing"
2024,1,"A","RR","LREC","OldOilGHG",63.2305385537477,"Oil Existing","Oil Existing"
2025,1,"A","RR","LREC","OldOilGHG",61.7719530329371,"Oil Existing","Oil Existing"
2026,1,"A","RR","LREC","OldOilGHG",60.3451392011988,"Oil Existing","Oil Existing"
2027,1,"A","RR","LREC","OldOilGHG",58.9429657779755,"Oil Existing","Oil Existing"
2028,1,"A","RR","LREC","OldOilGHG",57.5576142561655,"Oil Existing","Oil Existing"
2029,1,"A","RR","LREC","OldOilGHG",56.1812661286674,"Oil Existing","Oil Existing"
2030,1,"A","RR","LREC","OldOilGHG",54.8061028883793,"Oil Existing","Oil Existing"
2031,1,"A","RR","LREC","OldOilGHG",53.4277421609219,"Oil Existing","Oil Existing"
2032,1,"A","RR","LREC","OldOilGHG",52.0555461028047,"Oil Existing","Oil Existing"
2033,1,"A","RR","LREC","OldOilGHG",50.7023130032593,"Oil Existing","Oil Existing"
2034,1,"A","RR","LREC","OldOilGHG",49.3808411515174,"Oil Existing","Oil Existing"
2035,1,"A","RR","LREC","OldOilGHG",48.1039288368107,"Oil Existing","Oil Existing"
