"Year","EnGHG","StockScen","CharScen","RenScen","ElecScen","EmGHG","RenGHG","TotGHG","Housing_Scenario","New House Chars","StockScenario","UniqScen","ElecRen","Elec_Ren Scen","DiffGHG","Strategy"
2020,808.232095449661,"1","A","NR","G20",88.586691650616,0,896.818787100277,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,5.6843418860808e-13,"0. Mid-Case Electricity Supply"
2021,811.040498946765,"1","A","NR","G20",89.0246468076464,0,900.065145754411,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,-11.3495808802559,"0. Mid-Case Electricity Supply"
2022,813.904693472537,"1","A","NR","G20",89.010226446971,0,902.914919919508,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,-16.8298334813719,"0. Mid-Case Electricity Supply"
2023,816.791423806497,"1","A","NR","G20",88.7376558807369,0,905.529079687234,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,-17.1587164769048,"0. Mid-Case Electricity Supply"
2024,819.667434728163,"1","A","NR","G20",88.085176954907,0,907.75261168307,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,-13.0541885404109,"0. Mid-Case Electricity Supply"
2025,822.499471017053,"1","A","NR","G20",87.2382868065231,0,909.737757823576,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,-5.23420834544709,"0. Mid-Case Electricity Supply"
2026,825.250907734921,"1","A","NR","G20",85.9976070522843,0,911.248514787206,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,5.5212829813579,"0. Mid-Case Electricity Supply"
2027,827.87164107246,"1","A","NR","G20",84.6086097485034,0,912.480250820964,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,18.1844145010874,"0. Mid-Case Electricity Supply"
2028,830.308197502599,"1","A","NR","G20",83.1474092986938,0,913.455606801293,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,31.6653328217526,"0. Mid-Case Electricity Supply"
2029,832.507103498266,"1","A","NR","G20",81.5663308390196,0,914.073434337286,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,44.8741845513648,"0. Mid-Case Electricity Supply"
2030,834.41488553239,"1","A","NR","G20",80.0335493211204,0,914.44843485351,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,56.7211162979354,"0. Mid-Case Electricity Supply"
2031,835.994918666723,"1","A","NR","G20",78.5801707989202,0,914.575089465643,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,66.4261869348355,"0. Mid-Case Electricity Supply"
2032,837.27797231832,"1","A","NR","G20",77.1555866149206,0,914.43355893324,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,74.4491043968764,"0. Mid-Case Electricity Supply"
2033,838.311664493057,"1","A","NR","G20",75.7364490223684,0,914.048113515426,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,81.5594888842293,"0. Mid-Case Electricity Supply"
2034,839.143613196813,"1","A","NR","G20",74.416886128173,0,913.560499324986,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,88.5269605970652,"0. Mid-Case Electricity Supply"
2035,839.821436435466,"1","A","NR","G20",73.1072321543898,0,912.928668589856,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,96.1211397355554,"0. Mid-Case Electricity Supply"
2036,840.378764836826,"1","A","NR","G20",71.8635784675221,0,912.242343304348,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,104.9342677287,"0. Mid-Case Electricity Supply"
2037,840.793279516434,"1","A","NR","G20",70.6680854745326,0,911.461364990967,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,114.849070920812,"0. Mid-Case Electricity Supply"
2038,841.028674211766,"1","A","NR","G20",69.4689886874411,0,910.497662899207,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,125.570896885035,"0. Mid-Case Electricity Supply"
2039,841.048642660295,"1","A","NR","G20",68.4384202976019,0,909.487062957897,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,136.805093194512,"0. Mid-Case Electricity Supply"
2040,840.816878599496,"1","A","NR","G20",67.4991129258941,0,908.31599152539,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,148.257007422385,"0. Mid-Case Electricity Supply"
2041,840.315007671403,"1","A","NR","G20",66.6795658064305,0,906.994573477833,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,159.708484839844,"0. Mid-Case Electricity Supply"
2042,839.596383136283,"1","A","NR","G20",66.0141610814717,0,905.610544217755,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,171.247361510269,"0. Mid-Case Electricity Supply"
2043,838.732290158965,"1","A","NR","G20",65.4480873496957,0,904.18037750866,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,183.037971195088,"0. Mid-Case Electricity Supply"
2044,837.794013904274,"1","A","NR","G20",64.9931183089035,0,902.787132213178,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,195.244647655727,"0. Mid-Case Electricity Supply"
2045,836.85283953704,"1","A","NR","G20",64.6806484593056,0,901.533487996345,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,208.031724653615,"0. Mid-Case Electricity Supply"
2046,835.961995784518,"1","A","NR","G20",64.3686658115576,0,900.330661596076,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,221.414481870615,"0. Mid-Case Electricity Supply"
2047,835.10248562369,"1","A","NR","G20",64.0976105735109,0,899.200096197201,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,234.811982670344,"0. Mid-Case Electricity Supply"
2048,834.237255593965,"1","A","NR","G20",63.8740748118167,0,898.111330405782,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,247.494236336854,"0. Mid-Case Electricity Supply"
2049,833.329252234753,"1","A","NR","G20",63.6757381844097,0,897.004990419163,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,258.731252154197,"0. Mid-Case Electricity Supply"
2050,832.341422085464,"1","A","NR","G20",63.5048088205094,0,895.846230905974,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,267.793039406429,"0. Mid-Case Electricity Supply"
2051,831.248281450836,"1","A","NR","G20",63.3388511844013,0,894.587132635237,"No Ren., 2020 Elec Grid","A. Base","1 Baseline","1_A_NR_G20","G20_NR",NA,274.174859497408,"0. Mid-Case Electricity Supply"
