"State","abs_redn_LRE","pc_redn_LRE"
"AL",109.116127883872,0.2697
"AR",28.8368353432714,0.1133
"AZ",65.4932185841614,0.1262
"CA",74.3915264986776,0.0516
"CO",79.6819615168082,0.1006
"CT",18.4749355714619,0.0664
"DC",10.0993853898545,0.1454
"DE",13.2930483073142,0.1318
"FL",304.971135172918,0.201
"GA",251.478356351095,0.2391
"IA",85.8487185821621,0.2225
"ID",20.8045223751245,0.14
"IL",294.358712250267,0.1929
"IN",185.854654615103,0.2014
"KS",111.611845142917,0.3328
"KY",158.425809833414,0.3
"LA",27.4284322398216,0.069
"MA",39.5126954520804,0.0632
"MD",82.8311667939471,0.1545
"ME",7.13899417735648,0.0538
"MI",95.0937735985269,0.084
"MN",139.266510067891,0.1928
"MO",279.360468785395,0.3444
"MS",35.3185598311465,0.1363
"MT",14.0377602409918,0.1211
"NC",157.534792229359,0.2044
"ND",40.9386293602472,0.2582
"NE",58.2659784362849,0.2346
"NH",6.86367260515603,0.0571
"NJ",72.4241119448244,0.0864
"NM",14.474314749723,0.0997
"NV",27.8769437128503,0.1172
"NY",31.8625317213139,0.0217
"OH",275.454202147061,0.1844
"OK",69.7482440188981,0.2282
"OR",45.9401242628897,0.1714
"PA",157.031850254975,0.12
"RI",5.17560923461375,0.0608
"SC",80.2214101087722,0.2144
"SD",27.719721230919,0.2184
"TN",253.649350145361,0.3246
"TX",472.530781674209,0.2145
"UT",28.6677582308743,0.1123
"VA",142.880144755078,0.1959
"VT",3.1279514276392,0.0571
"WA",92.6548971886845,0.175
"WI",142.30618484106,0.1998
"WV",55.2123688944006,0.2399
"WY",8.48509185787941,0.1018
