"Year","gea","CO2_int_MC","CO2_int_LREC"
2020,"AZNMc",349.972314727415,349.450879749523
2020,"CAMXc",184.437671087273,184.233089175138
2020,"ERCTc",323.896679802673,322.931794457593
2020,"FRCCc",338.951281846509,338.274382317468
2020,"MROEc",411.851999067539,411.442039635316
2020,"MROWc",394.490829508358,393.870632139889
2020,"NEWEc",140.32505964437,139.145000049257
2020,"NWPPc",182.705892596846,182.407824004372
2020,"NYSTc",143.98871779827,140.613978429132
2020,"RFCEc",253.295496165992,253.155671026531
2020,"RFCMc",500.489176852994,498.356770532111
2020,"RFCWc",521.780946536597,521.598440859196
2020,"RMPAc",518.071762889873,517.076755434574
2020,"SPNOc",497.925418637078,497.217644319864
2020,"SPSOc",267.795289942432,266.978458915411
2020,"SRMVc",363.084007779127,363.209348071838
2020,"SRMWc",602.885699745798,602.325514569427
2020,"SRSOc",339.328019483465,339.123233549112
2020,"SRTVc",547.62576625676,547.048383761305
2020,"SRVCc",281.821877710574,281.6348821988
2022,"AZNMc",417.794930844787,416.876460687013
2022,"CAMXc",174.016140944341,173.091709928947
2022,"ERCTc",324.064293997082,322.541532983616
2022,"FRCCc",353.612597155082,351.833066050044
2022,"MROEc",409.779736771152,409.888615038145
2022,"MROWc",399.879399802585,397.069919757262
2022,"NEWEc",152.39067938431,152.178042541508
2022,"NWPPc",246.533245170781,246.373812672476
2022,"NYSTc",183.978699294729,180.780265512116
2022,"RFCEc",258.749268101416,259.037651305562
2022,"RFCMc",524.240635942822,522.623807627177
2022,"RFCWc",535.453915261779,530.059028462921
2022,"RMPAc",586.981116431258,584.105091622009
2022,"SPNOc",525.248108201237,459.461125100249
2022,"SPSOc",266.828532234698,245.085755023014
2022,"SRMVc",353.545033185977,348.658093266146
2022,"SRMWc",612.444805943267,611.229735300175
2022,"SRSOc",331.337473360403,331.022364393264
2022,"SRTVc",579.003098584282,575.592831140954
2022,"SRVCc",296.113341612805,293.347091012422
2024,"AZNMc",404.853811646515,390.962412681617
2024,"CAMXc",157.039024732071,159.355686439337
2024,"ERCTc",309.253814911218,293.560489731861
2024,"FRCCc",399.086435093727,375.929867070246
2024,"MROEc",423.674794014788,418.844750624944
2024,"MROWc",411.152105291508,377.674513528975
2024,"NEWEc",147.872811171529,142.461949991244
2024,"NWPPc",239.41490309693,199.278034655756
2024,"NYSTc",124.672344623388,116.522518130274
2024,"RFCEc",232.242037979041,225.855506411374
2024,"RFCMc",467.164832233659,434.27635643283
2024,"RFCWc",526.083342391188,489.466590261804
2024,"RMPAc",608.091747802273,586.764984240256
2024,"SPNOc",474.397033953996,222.906179799868
2024,"SPSOc",193.854867667022,114.74937674859
2024,"SRMVc",331.509906824366,317.53044122399
2024,"SRMWc",629.223919666336,525.909495582124
2024,"SRSOc",368.081532516092,345.274898566745
2024,"SRTVc",541.887403658701,473.974062930006
2024,"SRVCc",309.11674305234,297.152573969851
2025,"AZNMc",401.594880475233,377.225368338969
2025,"CAMXc",146.995647312085,147.499267180247
2025,"ERCTc",303.407366091948,289.544610954409
2025,"FRCCc",403.042644948982,379.975514581231
2025,"MROEc",429.356822558389,417.238864358261
2025,"MROWc",410.087640716187,363.064002106808
2025,"NEWEc",134.200446260175,129.861820233536
2025,"NWPPc",231.498895406281,188.604279530038
2025,"NYSTc",114.749386055436,108.89206121733
2025,"RFCEc",230.458932078281,222.434888522118
2025,"RFCMc",469.207502078228,437.998298902188
2025,"RFCWc",529.23386129633,486.455652482001
2025,"RMPAc",598.403617108307,585.830264758092
2025,"SPNOc",475.703002133981,224.445176948244
2025,"SPSOc",187.944165063859,104.86291708774
2025,"SRMVc",333.972707990414,314.281564373508
2025,"SRMWc",608.762796520138,510.67157825173
2025,"SRSOc",378.63631013074,352.621888322907
2025,"SRTVc",529.270402666747,484.458567082789
2025,"SRVCc",304.180958106762,276.188123324771
2026,"AZNMc",398.335949303951,363.48832399632
2026,"CAMXc",136.952269892099,135.642847921157
2026,"ERCTc",297.560917272678,285.528732176956
2026,"FRCCc",406.998854804237,384.021162092216
2026,"MROEc",435.03885110199,415.632978091579
2026,"MROWc",409.023176140865,348.453490684641
2026,"NEWEc",120.528081348821,117.261690475829
2026,"NWPPc",223.582887715632,177.930524404319
2026,"NYSTc",104.826427487484,101.261604304387
2026,"RFCEc",228.675826177521,219.014270632863
2026,"RFCMc",471.250171922797,441.720241371546
2026,"RFCWc",532.384380201473,483.444714702197
2026,"RMPAc",588.715486414341,584.895545275929
2026,"SPNOc",477.008970313965,225.984174096621
2026,"SPSOc",182.033462460697,94.9764574268908
2026,"SRMVc",336.435509156462,311.032687523025
2026,"SRMWc",588.30167337394,495.433660921335
2026,"SRSOc",389.191087745388,359.968878079068
2026,"SRTVc",516.653401674792,494.943071235572
2026,"SRVCc",299.245173161185,255.223672679691
2028,"AZNMc",367.223760439879,316.308577162734
2028,"CAMXc",121.85840191066,115.133538736837
2028,"ERCTc",285.202506874899,259.448729765806
2028,"FRCCc",400.523556939789,349.372899713516
2028,"MROEc",442.835153844274,433.503191470946
2028,"MROWc",387.133069838431,320.397132113852
2028,"NEWEc",108.889096364869,105.76402280147
2028,"NWPPc",216.434193414615,161.042810720907
2028,"NYSTc",89.1035801759111,86.2747899129751
2028,"RFCEc",223.115735982069,210.736589695282
2028,"RFCMc",459.886816808695,374.821235010839
2028,"RFCWc",528.851491530106,473.804887000814
2028,"RMPAc",565.573084078015,549.325546949265
2028,"SPNOc",409.399519048749,192.385314280628
2028,"SPSOc",162.269791559809,66.0756921122464
2028,"SRMVc",328.934072062166,300.572824612696
2028,"SRMWc",558.133929310862,478.819297173196
2028,"SRSOc",382.071583340384,280.927639966572
2028,"SRTVc",518.902626840998,485.247393204637
2028,"SRVCc",267.885343373242,206.776214284888
2030,"AZNMc",338.573157058626,286.224349730534
2030,"CAMXc",105.464612988382,98.5075926573518
2030,"ERCTc",269.131863466828,186.757169318367
2030,"FRCCc",351.370062440537,244.363038460352
2030,"MROEc",488.773053581269,335.207651652938
2030,"MROWc",356.292944613038,195.264251558732
2030,"NEWEc",105.158985418754,85.3118925497841
2030,"NWPPc",214.997173426858,150.693590048633
2030,"NYSTc",84.0231288369377,71.9266744089408
2030,"RFCEc",212.389682234523,187.523865268419
2030,"RFCMc",331.154253363117,299.244174453232
2030,"RFCWc",517.19507262676,426.413279163929
2030,"RMPAc",540.65602379122,469.453893604863
2030,"SPNOc",385.072152096526,145.463805933801
2030,"SPSOc",161.708190369743,49.6417232464382
2030,"SRMVc",280.00836222701,259.868166263594
2030,"SRMWc",526.616932476928,371.713717181408
2030,"SRSOc",339.108544026855,215.099042092726
2030,"SRTVc",490.615910338579,330.834574070949
2030,"SRVCc",236.767619113576,153.231584855588
2032,"AZNMc",319.246118008215,266.85481544846
2032,"CAMXc",104.844437749518,97.5626164370883
2032,"ERCTc",242.558992895383,137.121134679122
2032,"FRCCc",326.644275315647,194.636294148808
2032,"MROEc",392.92984239894,250.696861599694
2032,"MROWc",342.588728130575,145.648066618578
2032,"NEWEc",102.682680111617,81.7273344475974
2032,"NWPPc",203.722546794254,145.086339312589
2032,"NYSTc",81.0489121649449,69.4288602679264
2032,"RFCEc",210.033406777991,186.523357064129
2032,"RFCMc",323.340783362403,267.181553479366
2032,"RFCWc",497.146095834315,377.666075620567
2032,"RMPAc",513.216082314209,439.550735301724
2032,"SPNOc",376.935202841898,108.872425079709
2032,"SPSOc",146.356127082383,43.8509308129871
2032,"SRMVc",276.28235925457,256.654861230359
2032,"SRMWc",556.571763985981,380.687125998651
2032,"SRSOc",313.597991779287,192.872374844844
2032,"SRTVc",419.061411523954,254.321066235225
2032,"SRVCc",229.958555872552,126.733864585302
2034,"AZNMc",309.114513061775,260.477229524344
2034,"CAMXc",102.055809815432,90.5957994086811
2034,"ERCTc",239.620548365762,124.088795321856
2034,"FRCCc",311.580873487412,193.883958091303
2034,"MROEc",372.843377202712,120.659862006194
2034,"MROWc",346.555152695536,116.511793892244
2034,"NEWEc",99.7757648661683,68.3747954276139
2034,"NWPPc",204.366868947862,142.139053020616
2034,"NYSTc",72.9763875234154,60.8940185227351
2034,"RFCEc",226.007746937133,174.195466890813
2034,"RFCMc",320.352459817037,242.975267141056
2034,"RFCWc",478.318284251125,331.421361199305
2034,"RMPAc",499.332854739843,375.602664383146
2034,"SPNOc",379.337236522807,106.753999458839
2034,"SPSOc",146.617756616326,37.2756350348164
2034,"SRMVc",278.231533994781,258.972702805739
2034,"SRMWc",538.637565872845,342.3058793583
2034,"SRSOc",300.750348155,176.978107265636
2034,"SRTVc",408.679468497244,209.605727021093
2034,"SRVCc",217.424846621374,108.094079231991
2035,"AZNMc",287.180695409049,239.175767449172
2035,"CAMXc",98.304104977384,86.2029988187613
2035,"ERCTc",230.867293499923,123.995230447859
2035,"FRCCc",302.78064821024,190.614046722124
2035,"MROEc",375.346082015473,113.56070092321
2035,"MROWc",334.977708437902,111.304497056683
2035,"NEWEc",105.686635200273,68.9215235697376
2035,"NWPPc",200.920151601122,140.462879643494
2035,"NYSTc",77.2148348994252,64.1502148368412
2035,"RFCEc",229.281288882674,175.951294910857
2035,"RFCMc",321.457809013395,237.594374095208
2035,"RFCWc",475.54627792003,313.936164935911
2035,"RMPAc",490.71642242525,350.67296676954
2035,"SPNOc",377.38627981361,102.425667509107
2035,"SPSOc",148.102244458663,33.2671421173764
2035,"SRMVc",279.382291258856,257.092085169211
2035,"SRMWc",537.831727139995,332.963611213426
2035,"SRSOc",309.447350447394,174.109269779366
2035,"SRTVc",407.976369203008,192.761282430017
2035,"SRVCc",216.580927985541,103.863543648555
2036,"AZNMc",265.246877756323,217.874305374
2036,"CAMXc",94.5524001393363,81.8101982288415
2036,"ERCTc",222.114038634083,123.901665573861
2036,"FRCCc",293.980422933068,187.344135352944
2036,"MROEc",377.848786828235,106.461539840226
2036,"MROWc",323.400264180268,106.097200221122
2036,"NEWEc",111.597505534379,69.4682517118613
2036,"NWPPc",197.473434254382,138.786706266371
2036,"NYSTc",81.453282275435,67.4064111509474
2036,"RFCEc",232.554830828215,177.707122930901
2036,"RFCMc",322.563158209753,232.213481049359
2036,"RFCWc",472.774271588935,296.450968672518
2036,"RMPAc",482.099990110657,325.743269155933
2036,"SPNOc",375.435323104414,98.0973355593751
2036,"SPSOc",149.586732301001,29.2586491999364
2036,"SRMVc",280.533048522931,255.211467532683
2036,"SRMWc",537.025888407146,323.621343068552
2036,"SRSOc",318.144352739788,171.240432293097
2036,"SRTVc",407.273269908772,175.916837838941
2036,"SRVCc",215.737009349708,99.633008065119
2038,"AZNMc",240.589170544259,185.861559137956
2038,"CAMXc",88.9498275442303,68.442789281394
2038,"ERCTc",207.571183651842,103.576402223044
2038,"FRCCc",245.137547621972,162.144772124596
2038,"MROEc",384.080172927891,103.130802803128
2038,"MROWc",268.957896901337,91.6292486867243
2038,"NEWEc",102.860047048974,61.2196724903532
2038,"NWPPc",178.40459674602,127.222952541699
2038,"NYSTc",90.9360473907186,66.4752068217123
2038,"RFCEc",246.966667347078,178.979314761522
2038,"RFCMc",303.898965998309,208.0886160472
2038,"RFCWc",454.740095764877,256.539429862155
2038,"RMPAc",461.761268012773,312.437951183865
2038,"SPNOc",358.24272567082,88.676517278822
2038,"SPSOc",123.975158436056,22.3708978889803
2038,"SRMVc",277.555797419003,255.100873170768
2038,"SRMWc",531.351339405131,302.808563040264
2038,"SRSOc",271.168490934826,155.662945996384
2038,"SRTVc",394.870845360543,175.958519396478
2038,"SRVCc",198.955730819479,90.0690161739904
2040,"AZNMc",230.104785632285,159.532098725412
2040,"CAMXc",83.7222701358236,57.8768573958588
2040,"ERCTc",188.561803045234,106.152592872299
2040,"FRCCc",216.140753768178,157.010613808135
2040,"MROEc",385.064750929941,80.1146678354803
2040,"MROWc",248.582523991993,74.3666959234214
2040,"NEWEc",102.12010775164,58.7168249007708
2040,"NWPPc",174.689172223899,108.016327255604
2040,"NYSTc",79.8783252162903,61.678804417812
2040,"RFCEc",238.913515945462,171.127543571131
2040,"RFCMc",301.610032787729,184.196975590658
2040,"RFCWc",446.00146558804,209.406306782916
2040,"RMPAc",420.99331109958,310.300554305821
2040,"SPNOc",319.372504054148,81.276088180016
2040,"SPSOc",99.2418668725944,22.7432225404201
2040,"SRMVc",276.736894959261,253.07331141814
2040,"SRMWc",515.633128584628,211.28561873922
2040,"SRSOc",272.396058465588,151.798488132552
2040,"SRTVc",390.746568933639,153.648809076744
2040,"SRVCc",187.289082336939,82.9056185618054
2042,"AZNMc",225.914424941047,159.091288302895
2042,"CAMXc",73.4342524548861,52.720401654955
2042,"ERCTc",157.317270204577,84.5228377407254
2042,"FRCCc",178.743821103477,145.757241711473
2042,"MROEc",329.067198166654,60.7107788703702
2042,"MROWc",251.100185145375,53.0078016286061
2042,"NEWEc",105.709916043852,44.0741122515774
2042,"NWPPc",172.591546535817,103.442615779339
2042,"NYSTc",79.5219358388652,67.1409131413037
2042,"RFCEc",240.833670379538,158.897369969169
2042,"RFCMc",290.294636964312,188.812416156788
2042,"RFCWc",409.912158612937,193.15627816275
2042,"RMPAc",382.405458067034,274.061984648237
2042,"SPNOc",337.907460147195,75.0130167744167
2042,"SPSOc",111.044380882461,16.4352509970421
2042,"SRMVc",278.368662935726,246.865818307554
2042,"SRMWc",514.744641413966,141.988115578782
2042,"SRSOc",265.045511216461,125.71216923925
2042,"SRTVc",377.801605597889,118.644443287382
2042,"SRVCc",158.409612022576,67.0494714482914
2044,"AZNMc",194.736577764147,131.812020408516
2044,"CAMXc",63.7636370832908,43.1690230133565
2044,"ERCTc",163.380042253475,74.7387172706062
2044,"FRCCc",165.184892851008,110.761969962253
2044,"MROEc",272.195111271312,39.4379595541665
2044,"MROWc",202.422742878897,25.8950289454207
2044,"NEWEc",85.9636042784182,40.6637443259307
2044,"NWPPc",174.178495720694,97.9546837602541
2044,"NYSTc",80.0104112521036,68.2528436129492
2044,"RFCEc",234.131490701362,153.540370765715
2044,"RFCMc",295.663108595226,178.451137756254
2044,"RFCWc",402.643673051285,180.209464075752
2044,"RMPAc",332.258563172159,248.30331915588
2044,"SPNOc",187.517656449171,55.4043076880974
2044,"SPSOc",79.090262526707,11.0349053225487
2044,"SRMVc",277.370799908923,240.967867256871
2044,"SRMWc",528.719825957686,97.4322676683505
2044,"SRSOc",255.097898748299,109.744940315667
2044,"SRTVc",347.226745253629,102.063495448921
2044,"SRVCc",149.015837663762,63.4574128913167
2045,"AZNMc",180.199974371756,127.506194828525
2045,"CAMXc",61.9958696174285,40.5232222107534
2045,"ERCTc",156.334933710824,68.1327151365726
2045,"FRCCc",163.637120054468,110.922034666773
2045,"MROEc",277.234089501657,35.4521114825592
2045,"MROWc",191.617868559252,21.1121729125615
2045,"NEWEc",96.1102581067801,37.4639384375575
2045,"NWPPc",174.742454583719,94.820956495003
2045,"NYSTc",77.8615163117911,64.5399138723586
2045,"RFCEc",239.073633709595,155.811549384395
2045,"RFCMc",278.881624834289,151.858962161765
2045,"RFCWc",388.886520534772,176.66433584518
2045,"RMPAc",321.710609954311,228.317144104885
2045,"SPNOc",190.897927329052,53.817302865405
2045,"SPSOc",72.7871877497325,13.7168906984449
2045,"SRMVc",284.436925742658,263.405253885731
2045,"SRMWc",507.500193432808,88.3251266666172
2045,"SRSOc",231.716594171825,99.6468913964183
2045,"SRTVc",330.81867620316,90.3187874713438
2045,"SRVCc",125.026852853216,57.1843197614031
2046,"AZNMc",165.663370979365,123.200369248533
2046,"CAMXc",60.2281021515662,37.8774214081503
2046,"ERCTc",149.289825168173,61.526713002539
2046,"FRCCc",162.089347257929,111.082099371294
2046,"MROEc",282.273067732003,31.4662634109518
2046,"MROWc",180.812994239606,16.3293168797024
2046,"NEWEc",106.256911935142,34.2641325491844
2046,"NWPPc",175.306413446745,91.6872292297519
2046,"NYSTc",75.7126213714785,60.826984131768
2046,"RFCEc",244.015776717829,158.082728003074
2046,"RFCMc",262.100141073352,125.266786567276
2046,"RFCWc",375.12936801826,173.119207614609
2046,"RMPAc",311.162656736464,208.33096905389
2046,"SPNOc",194.278198208933,52.2302980427125
2046,"SPSOc",66.484112972758,16.398876074341
2046,"SRMVc",291.503051576394,285.842640514592
2046,"SRMWc",486.280560907929,79.217985664884
2046,"SRSOc",208.33528959535,89.5488424771692
2046,"SRTVc",314.41060715269,78.5740794937668
2046,"SRVCc",101.03786804267,50.9112266314894
2048,"AZNMc",154.08078283589,118.125154799441
2048,"CAMXc",59.0175050723792,35.9271995030215
2048,"ERCTc",122.384182785492,57.9778976867929
2048,"FRCCc",149.516072585768,111.174999870215
2048,"MROEc",281.226825895923,32.9674785747691
2048,"MROWc",149.006864846146,4.90246675969483
2048,"NEWEc",99.0107162854723,29.373502331521
2048,"NWPPc",169.993052824509,86.3928324340839
2048,"NYSTc",74.1698633560478,59.1110073070264
2048,"RFCEc",215.518785235793,144.957494034502
2048,"RFCMc",201.962011658103,140.81899173233
2048,"RFCWc",387.196787581006,164.730198607254
2048,"RMPAc",270.574673255474,186.607473221052
2048,"SPNOc",202.44845266801,50.0027742246941
2048,"SPSOc",69.0142936011484,18.6825216637268
2048,"SRMVc",292.253456755761,285.143710776707
2048,"SRMWc",468.234400233721,106.183625074016
2048,"SRSOc",206.948839832763,90.5671541552457
2048,"SRTVc",229.917984128579,75.4096199445672
2048,"SRVCc",106.229621765076,52.400608372034
2050,"AZNMc",152.960522823809,114.8060448864
2050,"CAMXc",58.4286694156995,33.3787531443158
2050,"ERCTc",114.347764836711,40.726158271672
2050,"FRCCc",154.542697888273,93.1879119595902
2050,"MROEc",204.720640176795,27.9833966751892
2050,"MROWc",123.892354318985,2.75036930838738
2050,"NEWEc",90.2927966102882,29.1048190906127
2050,"NWPPc",126.506200005677,64.9716564137046
2050,"NYSTc",73.7861104381684,59.7396712362506
2050,"RFCEc",234.446499015858,134.598881676422
2050,"RFCMc",187.193519488261,128.339366540242
2050,"RFCWc",336.923879324931,157.958881622635
2050,"RMPAc",246.064762866756,185.511318680157
2050,"SPNOc",186.431814205204,25.7524904192837
2050,"SPSOc",55.2027534234241,13.8106641851409
2050,"SRMVc",291.052661248901,252.01591135181
2050,"SRMWc",386.9817836253,88.6480642176726
2050,"SRSOc",194.505635177426,84.4173122598996
2050,"SRTVc",200.876093091204,60.4544497448885
2050,"SRVCc",91.5713689218508,51.1273003415699
