"","<1940","1940-59","1960-79","1980-99","2000-09","2010s"
"Mobile Home",56.51,5.46,20.81,15.58,13.7,14.64
"Multi-Family with 2 - 4 Units",24.58,20.92,15.69,12.15,12.23,12.97
"Multi-Family with 5+ Units",20.2,16.28,13.02,9.32,7.39,8.51
"Single-Family Attached",19.91,16.11,12.63,11.36,10.32,14.43
"Single-Family Detached",21.16,17.99,16.51,13.03,11.42,15.92
