"","Electricity.NE","Electricity.HP.NE","Gas.NE","Oil.NE","Other.None.NE","Propane.NE","Electricity.MW","Electricity.HP.MW","Gas.MW","Oil.MW","Other.None.MW","Propane.MW","Electricity.S","Electricity.HP.S","Gas.S","Oil.S","Other.None.S","Propane.S","Electricity.W","Electricity.HP.W","Gas.W","Oil.W","Other.None.W","Propane.W"
"Electricity",0.1,0,0,0,0.25,0,0.1,0,0,0,0.125,0,0.1,0,0,0,0.125,0,0.1,0,0,0,0.125,0
"Electricity HP",0.9,1,1,1,0.25,1,0.9,1,1,1,0.125,1,0.9,1,1,1,0.125,1,0.9,1,1,1,0.125,1
"Gas",0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0
"Oil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Other/None",0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0
"Propane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
