"","Midwest","Northeast","South","West"
"<1940",5.91,6.44,6.12,9.37
"1940-59",6.48,7.34,6.12,9.51
"1960-79",6.68,7.51,5.83,9.39
"1980-99",7.18,7.75,5.72,9.14
"2000-09",6.76,8.02,5.59,8.54
"2010s",7.05,9.46,5.99,8.93
