"","Midwest","Northeast","South","West"
"<1940",-0.55,-0.87,1,-4.31
"1940-59",-0.19,-0.41,1.27,-3.5
"1960-79",-0.05,-0.25,1.73,-3.47
"1980-99",0.1,0.06,1.88,-2.19
"2000-09",-0.09,0.05,0.94,-0.37
"2010s",0.13,0.37,1.18,0.47
