"","Midwest","Northeast","South","West"
"<1940",-0.14,-0.53,0.83,-2.91
"1940-59",0.05,-0.14,1.17,-2.07
"1960-79",0.14,-0.05,1.38,-2.01
"1980-99",0.27,0.24,1.54,-1.17
"2000-09",0.02,0.13,0.87,-0.25
"2010s",0.25,0.53,1.08,0.43
