"","Midwest","Northeast","South","West"
"<1940",18.56,18.07,17.1,14.18
"1940-59",18.66,17.99,16.57,14.52
"1960-79",14.83,14.44,12.64,11.56
"1980-99",9.43,8.72,7.05,6.41
"2000-09",8.49,7.21,6.75,5.75
"2010s",9.62,8.61,7.19,6.42
