"","Midwest","Northeast","South","West"
"<1940",4.2,4.38,4.64,6.15
"1940-59",4.46,4.94,4.91,6.54
"1960-79",4.62,4.74,4.59,6.5
"1980-99",4.63,4.7,4.59,6.31
"2000-09",4.52,5.02,4.51,5.73
"2010s",4.72,5.86,4.71,5.91
