"","Midwest","Northeast","South","West"
"<1940",8.84,8.51,8.21,6.87
"1940-59",9.32,8.77,7.19,5.64
"1960-79",7.5,6.98,5.61,5.18
"1980-99",6.74,6.72,4.13,4.62
"2000-09",6.75,7.12,4.15,4.85
"2010s",5.77,6.6,4.5,5.54
