"","Midwest","Northeast","South","West"
"<1940",15.37,15.42,14.24,11.76
"1940-59",15.56,15.21,13.81,11.28
"1960-79",12.49,11.9,10.61,9.36
"1980-99",7.89,7.1,5.9,5.11
"2000-09",7.06,5.64,5.3,4.33
"2010s",7.94,6.86,5.77,4.95
