"","Midwest","Northeast","South","West"
"<1940",21.1,22.83,20.99,19.01
"1940-59",18.52,20.77,16.5,15.33
"1960-79",18.44,19.6,13.17,14.54
"1980-99",15.8,16.72,9.84,12.15
"2000-09",13.17,15.04,8.89,11.39
"2010s",15.84,18.64,11.59,14.7
