"","Midwest","Northeast","South","West"
"<1940",3.18,3.67,3.52,4.22
"1940-59",3.74,4.29,3.72,4.56
"1960-79",3.12,4.01,2.61,4.06
"1980-99",2.87,3.5,2.03,3.7
"2000-09",2.77,3.54,2.17,3.72
"2010s",1.87,4.56,2.21,3.72
