"","<1940","1940-59","1960-79","1980-99","2000-09","2010s"
"Mobile Home",8.36,3.25,6.87,5.87,3.8,5.54
"Multi-Family with 2 - 4 Units",7.31,7.06,4.59,4.11,3.84,4.5
"Multi-Family with 5+ Units",6.4,5.96,3.46,2.55,3.23,2.64
"Single-Family Attached",8.35,6.97,5.34,5.17,5.9,5.66
"Single-Family Detached",8.73,8.1,7.04,5.8,5.63,5.82
