"","Electricity.NE","Electricity.HP.NE","Gas.NE","Oil.NE","Other.None.NE","Propane.NE","Electricity.MW","Electricity.HP.MW","Gas.MW","Oil.MW","Other.None.MW","Propane.MW","Electricity.S","Electricity.HP.S","Gas.S","Oil.S","Other.None.S","Propane.S","Electricity.W","Electricity.HP.W","Gas.W","Oil.W","Other.None.W","Propane.W"
"Electricity",0.75,0,0,0,0.25,0,0.65,0,0,0,0.125,0,0.5,0,0,0.15,0.125,0,0.6,0,0,0,0.125,0
"Electricity HP",0.25,1,0.25,0.5,0.25,0.25,0.35,1,0.35,0.5,0.125,0.35,0.5,1,0.5,0.8,0.125,0.5,0.4,1,0.3,0.75,0.125,0.75
"Gas",0,0,0.75,0,0,0,0.09,0,0.65,0.5,0.25,0,0,0,0.5,0.05,0.25,0,0.09,0,0.7,0.25,0.25,0
"Oil",0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Other/None",0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0
"Propane",0,0,0,0.05,0,0.75,0.01,0,0,0,0,0.65,0,0,0,0,0,0.5,0.01,0,0,0,0,0.25
