"","Midwest","Northeast","South","West"
"<1940",21.16,20.29,19.05,15.51
"1940-59",22.5,21.55,19.13,16.13
"1960-79",16.88,16.35,13.67,12.66
"1980-99",10.82,10.08,7.81,7.24
"2000-09",9.56,8.69,7.02,5.95
"2010s",10.03,9.24,7.32,6.64
