"","Electricity.NE","Electricity.HP.NE","Gas.NE","Oil.NE","Other.None.NE","Propane.NE","Electricity.MW","Electricity.HP.MW","Gas.MW","Oil.MW","Other.None.MW","Propane.MW","Electricity.S","Electricity.HP.S","Gas.S","Oil.S","Other.None.S","Propane.S","Electricity.W","Electricity.HP.W","Gas.W","Oil.W","Other.None.W","Propane.W"
"Electricity",0.67,0,0.012721738574955,0.0172347832836795,0.125,0,0.729137266176945,0.00843253968253968,0.0251001244067975,0.0997402597402598,0.125,0.0277777777777778,0.756906803640032,0.0366611234738644,0.0712189527630561,0.199321646727919,0.125,0.210304054054054,0.730829010091926,0.0221809440559441,0.041352732852713,0.251960784313725,0.125,0.282608695652174
"Electricity HP",0.01,0.977777777777778,0,0.00808505579583558,0.125,0,0.041123009088455,0.959325396825397,0.00367290068823845,0.0113341204250295,0.125,0,0.0912096365292546,0.938546059683106,0.0214483857928455,0.146798636888862,0.125,0.0160472972972973,0.0950856140388699,0.950393356643357,0.0106487177546966,0.0686274509803922,0.125,0.0434782608695652
"Gas",0.24,0.0222222222222222,0.959044775867786,0.150102187781988,0.25,0.0809716599190284,0.189227175929138,0.0322420634920635,0.957647355796405,0.371582435160148,0.25,0.17156862745098,0.134541974255629,0.0247928168430298,0.899878648835977,0.106284485679203,0.25,0.140202702702703,0.170876591343359,0.0274256993006993,0.932553596788254,0.416666666666667,0.25,0.369565217391304
"Oil",0.045,0,0.00871296978110201,0.766735818440316,0,0,0.0116980113380725,0,0.00113757742537251,0.21133412042503,0,0,0.00342287619781499,0,0.00148570655629003,0.524960571716778,0,0.0160472972972973,0,0,0.000784639073173167,0.262745098039216,0,0.0434782608695652
"Other/None",0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0
"Propane",0.035,0,0.0195205157761572,0.057842154698181,0,0.919028340080972,0.0288145374673896,0,0.0124420416831864,0.306009064249533,0,0.800653594771242,0.0139187093772684,0,0.00596830605183176,0.0226346589872377,0,0.617398648648649,0.00320878452584516,0,0.0146603135311629,0,0,0.260869565217391
