"","Midwest","Northeast","South","West"
"<1940",14.62,13.94,14.41,10.64
"1940-59",14.21,13.68,12.26,9.03
"1960-79",13.14,12.06,10.25,8.71
"1980-99",11.04,10.72,7.92,6.99
"2000-09",9.96,10.05,7.27,6.65
"2010s",9.22,9.47,7.72,7.5
