"","<1940","1940-59","1960-79","1980-99","2000-09","2010s"
"Mobile Home",19.92,15.01,12.26,7.74,7.76,8.69
"Multi-Family with 2 - 4 Units",18.91,17.4,11.63,6.6,5.86,NA
"Multi-Family with 5+ Units",12.46,12.34,9.28,5.87,5.8,NA
"Single-Family Attached",19.05,18.04,13.5,9.35,8.1,8.59
"Single-Family Detached",21.38,21,16.66,8.94,7.53,8.55
