"","<1940","1940-59","1960-79","1980-99","2000-09","2010s"
"Mobile Home",10.9,12.7,11.76,7.66,7.23,6.89
"Multi-Family with 2 - 4 Units",19.73,18.67,12.21,5.99,5.44,8.91
"Multi-Family with 5+ Units",13.22,13.23,9.85,5.52,4.36,5.56
"Single-Family Attached",16.17,15.35,12.01,8.26,7.49,7.68
"Single-Family Detached",18.05,17.4,14.4,8.03,6.98,7.59
