"","<1940","1940-59","1960-79","1980-99","2000-09","2010s"
"Mobile Home",-3.11,5.39,0.7,0.53,1.01,1.65
"Multi-Family with 2 - 4 Units",-1.14,-0.77,0,0.71,0.85,1.31
"Multi-Family with 5+ Units",-1.69,-0.83,-0.42,0.21,0.44,1.12
"Single-Family Attached",0.16,0.15,-0.23,0.48,0.16,0.84
"Single-Family Detached",-0.04,0.1,0.33,0.75,0.38,0.62
