"","<1940","1940-59","1960-79","1980-99","2000-09","2010s"
"Mobile Home",-4.09,5.34,0.5,0.39,1.05,1.69
"Multi-Family with 2 - 4 Units",-1.82,-1.23,-0.38,0.26,0.64,1.63
"Multi-Family with 5+ Units",-2.49,-1.76,-0.75,-0.12,0.37,0.86
"Single-Family Attached",0,-0.37,-0.54,0.54,0.27,0.9
"Single-Family Detached",-0.23,-0.08,0.29,0.95,0.46,0.75
