"","<1940","1940-59","1960-79","1980-99","2000-09","2010s"
"Mobile Home",5.46,6.25,12.46,10.37,9.15,8.27
"Multi-Family with 2 - 4 Units",12.71,11.55,9.29,7.05,6.82,6.87
"Multi-Family with 5+ Units",10.87,9.98,8.34,6.06,5.35,5.18
"Single-Family Attached",12.82,11.4,9.28,7.99,8.26,8.71
"Single-Family Detached",14.37,12.79,11.67,9.38,8.43,9.38
