"","<1940","1940-59","1960-79","1980-99","2000-09","2010s"
"Mobile Home",2.25,8.86,5.44,5.11,5,4.55
"Multi-Family with 2 - 4 Units",6.79,8,7.99,8.08,8.93,8.84
"Multi-Family with 5+ Units",8.27,10.06,9.62,9.67,9.06,9.81
"Single-Family Attached",7.99,9.25,8.16,8.35,8.3,8.31
"Single-Family Detached",6.09,6.9,6.52,6.45,6.24,6.34
