"","<1940","1940-59","1960-79","1980-99","2000-09","2010s"
"Mobile Home",11.18,11.38,10.36,6.66,6.14,6.81
"Multi-Family with 2 - 4 Units",17.95,17.23,10.43,5.24,4.02,3.84
"Multi-Family with 5+ Units",13.21,12.31,8.95,4.38,3.49,4.31
"Single-Family Attached",13.2,12.13,9.68,6.6,5.56,6.12
"Single-Family Detached",14.59,14.21,11.71,6.6,5.52,6
