"","<1940","1940-59","1960-79","1980-99","2000-09","2010s"
"Mobile Home",-1.48,1.2,3.87,3.56,3.82,3.62
"Multi-Family with 2 - 4 Units",4.41,5.02,5.22,5.58,5.82,5.99
"Multi-Family with 5+ Units",5.43,7.1,6.75,6.54,6.47,6.54
"Single-Family Attached",6.07,6.61,6.04,5.96,5.94,5.66
"Single-Family Detached",4.33,4.93,4.64,4.67,4.45,4.56
