"","<1940","1940-59","1960-79","1980-99","2000-09","2010s"
"Mobile Home",0,4.53,0.6,0.33,1.07,1.55
"Multi-Family with 2 - 4 Units",-0.91,-0.53,-0.02,0.39,0.57,1.45
"Multi-Family with 5+ Units",-1.68,-1,-0.49,0.12,0.45,1.15
"Single-Family Attached",0.03,-0.03,-0.17,0.51,0.38,0.83
"Single-Family Detached",-0.07,0.13,0.3,0.61,0.51,0.78
